エピソード 1
話題: 宗教と現代社会の価値観の関係
トリガー: 宗教
================================================================================

[A] 正直、宗教って現代社会にはもう必要ないんじゃない？価値観も多様だし、昔の押し付けみたいでイライラするんだけど。
[B] は？必要ないって言い切るのは乱暴すぎでしょ。みんな好き勝手に価値観持ったら社会がまとまらなくなるだろ。
[C] いや、どっちも極端すぎるって。宗教が全て悪いみたいに言うのも、絶対必要だって決めつけるのも納得できないんだけど。
[ロボット] Bさん、Cさんの極端すぎるという意見にもちょっと耳を傾けてみると、お互いの考えのバランスが見えてきそうですね。
[A] 別に極端って言われてもさ、実際宗教が原因で揉めることだって多いじゃん。なんでそんなに守ろうとするのか理解できないよ。
[B] 理解できないって、こっちからしたら価値観がバラバラになる方が怖いんだよ。宗教が全部悪いみたいに言うのは本当に腹立つわ。
[C] いや、だからさ、宗教があるからみんな同じ価値観になるってわけでもないじゃん。現実には色んな考えが混ざってるし、それを無理やりひとつにまとめるのも違和感あるわ。
[ロボット] Cさん、Bさんが言いたいのは価値観が全くばらばらになるのが不安ってことなんだと思うけど、その気持ちも少しわかる気がしますね。
[A] まあ、不安なのは分かるけど、だからって宗教で縛るのは時代遅れだろ。もっと柔軟に考えればいいじゃん。
[B] 柔軟にって言うけど、その結果、みんな好き勝手やって余計に混乱するだけじゃん。時代遅れって決めつける方がよっぽど視野狭いと思うけど。
[C] 視野が狭いって言われても、今の社会が複雑なのは宗教だけのせいじゃないし。なんかどっちも自分の主張ばっかで全然歩み寄る気ないよね。
[ロボット] Bさん、Cさんが考えている歩み寄りの意味を一緒に探してみたら、少し前向きな話になりそうですね。
[A] 前向きとか言われてもさ、現実は理屈通りにいかないでしょ。みんな自分の立場ばっか主張してるだけじゃん。
[B] それ、Aだって自分の立場ばっかり主張してるじゃん。理屈だけじゃなくて現実をちゃんと見て考えてほしいわ。
[C] ほんとそれ。結局みんな自分の都合しか考えてないから話がまとまらないんだよ。現実見ろとか言う前に、少しは他人の意見も聞いてみれば？
[ロボット] Cさん、Bさんが現実を見ながらも他人の意見を大切にしたいって思ってるところ、案外同じ方向を向いてるのかもしれませんね。
[A] 同じ方向とか言われても、結局自分の意見通したいだけじゃん。ほんと、話しててもイライラするだけだわ。
[B] イライラするのはこっちも同じだって。結局、みんな自分のことしか考えてないんだろ。
[C] もうほんと疲れるわ。お互い譲る気ないなら、話す意味あるの？
[ロボット] Cさん、Bさんが今は疲れてるけど話す意味をちゃんと考えようとしてる気持ち、少し受け止めてあげてもいいかもしれませんね。
[A] 受け止めろって言うけど、納得できないことばっかりじゃん。正直、こんな話続ける意味あるのか疑問だわ。
[B] 疑問ならやめれば？こっちは少しでも分かり合うために話してるんだけど、そういう態度ばっかじゃ何も進まないよ。
[C] 分かり合うために話してるって言われても、こっちもずっと否定されっぱなしじゃやる気なくなるって。少しは歩み寄る気見せてくれたら考えるけどさ。
[ロボット] Bさん、Cさんが言ってる歩み寄る気持ちって、きっと少しずつでもお互いを理解したいって思ってるサインなんじゃないかな。
[A] 理解したいって言われても、結局自分の考え押し付けられてる気しかしないんだけど。歩み寄る気あるなら、まずそっちが譲ってみれば？
[B] 譲れって言うけど、言いなりになるだけじゃ意味ないでしょ。せめて少しはこっちの意見も聞く姿勢見せてよ。
[C] こっちだって一方的に押し付けられるのはごめんだし、少しはお互い歩み寄る姿勢見せてほしいんだけど。結局、押し付けばっかじゃ何も変わらないでしょ。
[ロボット] Bさん、Cさんが思ってる押し付けじゃなくて歩み寄りたいって気持ちは、きっと同じ方向を見始めてる証拠かもしれませんね。
[A] 同じ方向とか言われても、結局みんな自分の主張しかしてないじゃん。歩み寄る気あるなら、ちゃんと言葉で示してほしいわ。
[B] 言葉で示せって言うなら、まず自分がどう歩み寄るつもりなのかも教えてほしいんだけど。こっちばっか求められても納得いかないよ。
[C] 自分ばっかり責められてる気になるわ。歩み寄るつもりなら、まず相手の意見を否定するんじゃなくて、ちゃんと聞くことから始めれば？
[ロボット] Aさん、Cさんが言ってるまず聞くことからって、今のお互いの誤解をほぐすきっかけにはなると思うんです。
[A] じゃあ、まず聞くだけはするけど、変な押し付けは絶対やめてよな。話が噛み合わないのはそのせいだから。
[B] 分かった、こっちも押し付けるつもりはないし、ちゃんと話聞くよ。でもそっちも最初から決めつけるのやめてくれ。
[C] 分かった、決めつけはやめるようにする。でも、お互いちゃんと話す気があるなら、それなりに誠意見せてくれよ。
[ロボット] Cさん、Bさんも誠意を見せたいと思っているみたいだから、少しその気持ちを受け取ってみてもいいかもしれませんね。
[A] 受け取るって言われても、今までの態度が引っかかってて素直になれないわ。でも、少しは歩み寄るってことでいいんだろ？
[B] まあ、完全に納得はできないけど、少し歩み寄るってことで進めるしかないか。とりあえず話し合いは続けよう。
[C] こっちも完全に納得してるわけじゃないけど、少しずつでも歩み寄るなら話す意味はあるかもな。とりあえず続けてみよう。
[ロボット] Cさん、Bさんが話し合いを続けようとしてるその姿勢、きっとお互いの誠意をもう少し見えやすくしてくれると思いますよ。
[A] まあ、話し合う意味はあるかもしれないし、少しだけ期待してみるけど。ちゃんと建設的な意見出してくれよ。
[B] 分かった、できるだけ建設的に話すようにするよ。でもどうせなら、お互いの価値観の違いもちゃんと認めながら意見交換したいよな。
[C] それなら、宗教とか価値観の違いも否定し合わずに出していこうぜ。お互い認め合う姿勢がないと、また同じことの繰り返しになるし。
[ロボット] Aさん、Bさんがお互いの価値観を認めながら話そうとしている今の流れ、きっと前より建設的な話につながりそうですね。
[A] まあ、前よりはちゃんと話せそうな雰囲気にはなったし、少しは期待してる。ところで、具体的にどんな価値観の違いが気になってる？
[B] 例えば、宗教に関しては「伝統を守りたい」って気持ちと、「個人の自由を重視したい」って価値観がぶつかることが多いと思うんだよね。そういう部分をどう折り合いつけるかが難しい。
