エピソード 2
話題: 若者の政治参加を促す方法
トリガー: 政治
================================================================================

[A] 正直、若者なんて政治に興味ないでしょ。何やっても変わらないと思ってるし、無駄じゃない？
[B] いや、そんなこと言ってるからいつまでも変わらないんだよ。若者のせいにするのは違うでしょ。
[C] どっちも極端すぎるんだよ。興味ないのは事実だけど、かといって全部若者のせいにされるのもムカつくわ。
[ロボット] Cさん、Aさんもどうすれば興味を持てるのかを探してるだけかもしれないし、その部分を一緒に考えてみるのも良さそうですね。
[A] …まあ、考えてみるのはいいけど、そもそも政治が若者に分かりやすくないのが問題だろ。
[B] 確かに分かりにくいし、説明も難しすぎるんだよな。もうちょっと若者向けに工夫してほしいわ。
[C] 結局、説明する側が偉そうにしてるのも腹立つし、もっと身近な話題に落とし込めばいいのにって毎回思うわ。
[ロボット] Aさん、Bさんも今のように分かりやすさを重視してる点では同じ方向を見てると思うので、その視点から少し話を深めてみてもいいかもしれませんね。
[A] まあ、確かに分かりやすい説明が増えれば少しは興味持てるかもしれないけど、今まで何も変わってこなかったじゃん。期待するだけ無駄なんじゃないの。
[B] いや、諦めたら本当に何も変わらないだろ。少しでも工夫してみる価値はあると思うけど。
[C] 結局、期待しなきゃ何も始まらないだろ。でも正直、今までのやり方に飽き飽きしてるのも本音だわ。
[ロボット] Cさん、Aさんも今までのやり方に疑問を持ってる点では共通してると思うので、新しい工夫について一緒に考えてみると前向きになれそうですね。
[A] 新しい工夫って言われても、具体的に何をどう変えればいいのか全然イメージ湧かないんだけど。今まで失敗ばっかりだったじゃん。
[B] それは分かるけど、失敗ばっかりでも何か一つくらいは成功した事例あるだろ。そこからヒントを探すしかないんじゃないの。
[C] 成功した事例なんて、全然知られてないのが問題なんだよ。もっと身近な成功例をみんなに伝える仕組みが欲しいわ。
[ロボット] Aさん、Bさんも今の話みたいに身近な成功例から少し前向きに考えてみると、次に繋げやすい気がしますね。
[A] まあ、成功例があるならもっとちゃんと広めてほしいし、そういうのが見えないからやる気なくなるんだよな。
[B] ほんとそれ。せっかく成功したことがあっても、全然伝わってこないのが一番イライラするんだよ。
[C] 情報発信が下手すぎるんだよ。もっとSNSとか使ってガンガン広めりゃいいのにさ。
[A] ぶっちゃけ、なんで未だに古い方法にこだわるのか意味わかんないわ。SNS使ってもっと分かりやすく発信すればいいだけじゃん。
[B] SNSなら若者もちゃんと見るし、そこに力入れれば絶対変わるのにな。今のままだと興味持てって方が無理あるだろ。
[C] 結局、偉い人たちがやる気ないだけじゃね？本気で変えたいなら、まず発信を若い人に任せてみてほしいわ。
