エピソード 1
話題: キャッシュレス社会のメリットとデメリット
トリガー: お金
================================================================================

[A] キャッシュレスなんて面倒なだけじゃん。現金の方がわかりやすいし安心なんだけど。
[B] は？現金の方が面倒くさいでしょ。いちいち小銭数えるのとかイライラするわ。
[C] どっちも不便なところあるだろ。キャッシュレスだって、スマホの電池切れたら何もできないし、結局ストレスたまるだけじゃん。
[ロボット] AさんもBさんも、結局使いやすくてストレスが少ない方法を求めてるって点では同じですよね。
[A] 同じって言われても納得いかないんだけど。こっちは不安だから現金使ってるだけだし。
[B] 不安とか言ってるけど、結局慣れてないだけでしょ？新しいこと受け入れる気ないの？
[C] BもAも人の考えにケチつけてばっかりで、余計ムカつくんだけど。みんな自分のやり方が一番だと思い込んでるだけじゃん。
[ロボット] Cさん、Aさんも自分に合った方法を探してるだけみたいだから、少しその気持ちわかってあげてもいいかもですね。
[A] 別にみんなに現金を押しつけてるわけじゃないし、自分が不安なのをわかってくれるならそれでいいけど。
[B] まあ、人それぞれ不安なことはあるか。無理にキャッシュレスにしろとは言わないけど、便利なのも事実なんだよ。
[C] まあ、便利さも不安もあるのはわかるけど、どっちかに決めつけるのがムカつくんだよな。正直、状況によって使い分けるしかないんじゃない？
[ロボット] Cさん、Aさんも状況によって使い分ける考え方には共感してると思うので、その点から話を広げるといいかもしれませんね。
[A] まあ、確かに場面によって使い分けるのは悪くないと思う。全部キャッシュレスじゃなくてもいいし。
[B] それなら多少は納得できるわ。現金もキャッシュレスも、状況で選べばいいだけの話だしな。
[C] やっとまともな話になったじゃん。最初からそうすればよかったのに。
[ロボット] Cさん、Aさんも今みたいにお互いの使い方に柔軟になってきたところを、少し前向きに認め合えるといいですね。
[A] 確かに、最初からもう少し落ち着いて話せばよかったかもな。お互いに選択肢があるってのは安心だし。
[B] まあな。最初はケンカ腰ですまんかったわ。結局それぞれ合うやり方でいいよな。
[C] まあ、謝ることないだろ。みんな自分のやり方でやればいいって話だし、結局それが一番楽なんだよ。
[ロボット] Cさん、Bさんも今みたいにお互いのやり方を認め合える空気になってきましたし、その流れで少し協力的に話を続けていけそうですね。
[A] うん、今なら普通に話せるし、ちょっとは気持ちも楽になったわ。やっぱり頭ごなしに否定されるのが一番イライラするんだよな。
[B] それは本当にそうだな。頭ごなしに否定するのはお互い良くないし、もう少し冷静に話せるようにしたいよな。
[C] まあ、みんなも分かってくれたみたいだし、これからはもう少し冷静に話せそうだな。お互いの考え聞くのも悪くないかも。
[A] そうだな、いろんな意見が聞ける方が新しい発見もあるかもしれないし、少しは前向きになれそうだわ。
[B] うん、意外とこうやってちゃんと話すと、自分でも考えが整理できていいもんだな。
[C] それな。こういうふうに話せば、無理に決めつけなくて済むし、案外スッキリするもんな。
