エピソード 2
話題: 人類の火星移住計画の現実性
トリガー: 宇宙
================================================================================

[A] 火星移住なんて現実味がないだろ？B、いつも理想ばっか語って現実見えてるのかよ。
[B] A、お前こそ頭ごなしに否定ばっかだな。少しは可能性を考えろよ、時代遅れって言われるぞ。
[C] まあまあ、二人とも落ち着いて。火星移住が無理って決まったわけじゃないし、技術の進歩次第じゃ本当に可能になるかもよ。
[ロボット] Aさん、Bさん、Cさんが言うように技術の進歩の話をもう少し一緒に掘り下げてみるのはどうですか、きっと面白い気づきがありますよ。
[A] …まあ、技術の進歩について話すのは別にいいけど、Bの夢物語ばっかじゃ議論にならないだろ。C、話をまとめてくれるなら付き合うよ。
[B] 俺の話が全部夢物語だって決めつけるのはやめろよ、A。でも、Cが進行してくれるならちゃんと話すから。
[C] じゃあ、まず火星移住に必要な技術って何があるか整理しよう。みんなが気になるテーマから話してみない？
[ロボット] Aさん、Bさん、それぞれの視点から火星移住に必要な技術を挙げたらきっとCさんも整理しやすくて話が深まりそうですね。
[A] …じゃあ俺はまず、生命維持システムが絶対に必要だと思う。酸素や水を安定して供給できなきゃ、そもそも移住なんて無理だろ。
[B] まあ、それは確かに重要だな。俺は輸送手段、つまり火星まで人や物資を安全に運べるロケット技術が最優先だと思う。
[C] どっちも大事だね。生命維持と輸送、まずはその二つをどう実現するかから考えてみようか。
[ロボット] Aさん、Bさん、今の意見はどちらも現実的な視点だから、二つをうまく組み合わせればより実現に近づきそうですね。
[A] …まあ、今のはまともな意見だと思うよ。C、じゃあこの二つが現時点でどこまで進んでるのか、まとめてみてくれよ。
[B] Cがまとめてくれるなら、俺も具体的なデータとか調べて手伝うし。A、文句ばっかじゃなくて少しは前向きに議論しようぜ。
[C] ありがとう、じゃあ俺が今知ってる範囲で生命維持システムと輸送手段の現状を調べてみるよ。Bもデータ提供してくれるなら助かる。
[ロボット] Aさん、Bさん、Cさんが調べた内容を一緒に確認しながら次の課題を考えたら、より具体的に話が進みそうですね。
[A] …まあ、今回はちゃんと調べてみるよ。C、データ揃ったら教えてくれ。
[B] 了解。俺もできるだけ最新の情報まとめるから、Cが整理しやすいように送るわ。
[C] 助かるよ、二人とも。データがまとまったら、まず生命維持システムから整理してみるね。
[A] 任せるよ。分かりやすくまとめてくれたら助かるし、質問があれば俺にも聞いてくれ。
[B] C、分かんなかったら遠慮なく聞いてくれ。俺も分かる範囲で細かく説明するから。
[C] ありがとう、頼りにしてるよ。じゃあ後で分からないことが出てきたら質問するね。
